epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,  209.300,    0.002,         0.076531,        0.0051301,         0.081661,         4.17,         7.18,          2.6,         5.94,         6.53,         5.93,         5.25,         3.94,          9.4,         10.1,         10.4,         8.45,         22.5,         1.02,         0.011238,       5.8535e-05,         0.011297,         1.85,         2.75,         1.15,         2.76,         2.83,         2.31,         2.26,         1.59,          3.8,         3.88,         3.12,          3.1,         3.14,        0.143
         2,  375.603,    0.002,         0.018886,       0.00071166,         0.019597,         2.35,         3.57,         1.43,         3.37,         3.84,         3.29,         2.98,         1.97,         4.67,         5.31,          4.8,         4.19,         11.4,        0.516,        0.0066395,       2.2912e-05,        0.0066624,         1.42,         2.12,        0.875,         2.11,         2.21,         1.81,         1.75,         1.21,          2.9,         2.97,         2.52,          2.4,         1.94,       0.0884
         3,  540.305,    0.002,          0.01504,       0.00060797,         0.015648,         2.07,         3.18,         1.26,         2.98,         3.36,         2.93,         2.63,         1.76,          4.2,         4.61,         4.34,         3.73,         10.5,        0.477,         0.005222,       1.6266e-05,        0.0052382,         1.26,         1.88,        0.794,         1.89,          1.9,         1.58,         1.54,          1.1,         2.59,         2.56,         2.18,         2.11,         1.63,       0.0741
         4,  706.246,    0.002,         0.010485,       0.00034211,         0.010827,         1.77,         2.66,         1.05,         2.59,         2.92,         2.42,         2.25,         1.44,         3.55,         3.91,         3.49,          3.1,         8.04,        0.366,        0.0040177,       1.1921e-05,        0.0040296,         1.11,         1.65,        0.694,         1.67,         1.65,         1.33,         1.34,        0.962,          2.3,          2.2,         1.88,         1.84,         1.42,       0.0647
         5,  870.102,    0.002,         0.009937,       0.00029154,         0.010229,         1.71,         2.59,            1,         2.49,         2.87,         2.42,          2.2,         1.36,         3.43,         3.85,         3.52,         3.04,         7.28,        0.331,        0.0037465,       1.2696e-05,        0.0037592,         1.07,         1.59,        0.665,         1.59,         1.65,         1.31,          1.3,        0.919,          2.2,         2.26,         1.77,         1.79,         1.58,       0.0718
         6, 1034.139,    0.002,        0.0089229,       0.00028066,        0.0092036,         1.59,         2.45,        0.936,         2.34,         2.67,          2.2,         2.04,         1.28,         3.26,          3.7,         3.29,         2.88,          6.8,        0.309,         0.003227,       1.1637e-05,        0.0032386,        0.995,         1.47,        0.618,         1.49,         1.53,         1.24,         1.22,        0.853,         2.04,         2.06,         1.68,         1.66,         1.61,       0.0731
         7, 1199.356,    0.002,        0.0074948,       0.00021083,        0.0077057,          1.5,         2.25,        0.898,         2.18,         2.47,         2.06,          1.9,         1.24,         2.97,         3.36,         2.91,         2.62,         5.97,        0.271,        0.0026618,       5.2011e-06,         0.002667,        0.894,         1.34,        0.564,         1.35,         1.35,         1.05,         1.08,        0.787,         1.88,         1.81,         1.46,         1.49,        0.973,       0.0442
         8, 1362.996,    0.002,        0.0098847,       0.00021332,         0.010098,         1.57,         2.58,        0.923,         2.27,         2.62,         2.29,         2.03,         1.36,          3.3,         3.84,         3.86,         3.09,         6.14,        0.279,        0.0029106,       5.0185e-06,        0.0029156,        0.919,          1.4,         0.57,         1.37,         1.44,         1.14,         1.13,        0.793,         1.93,         1.99,         1.62,         1.59,         0.95,       0.0432
         9, 1527.188,    0.002,        0.0066028,       0.00017335,        0.0067761,         1.32,         2.11,         0.77,         1.94,         2.22,         1.86,          1.7,          1.1,         2.78,         3.14,         2.95,         2.49,         5.22,        0.237,        0.0023708,       4.4341e-06,        0.0023752,        0.844,         1.26,        0.526,         1.26,          1.3,         1.04,         1.03,        0.727,         1.76,         1.76,         1.43,         1.42,        0.909,       0.0413
        10, 1690.747,    0.002,        0.0061315,       0.00015428,        0.0062858,         1.29,         2.03,        0.751,          1.9,         2.09,         1.87,         1.65,         1.05,         2.71,         2.84,         2.97,         2.39,         5.13,        0.233,        0.0022099,       4.6513e-06,        0.0022145,        0.812,         1.22,        0.506,         1.22,         1.25,        0.996,        0.992,        0.704,          1.7,          1.7,         1.36,         1.37,        0.908,       0.0413
        11, 1854.103,    0.002,        0.0049566,       0.00013954,        0.0050961,         1.22,         1.83,        0.726,         1.81,         2.04,         1.63,         1.55,        0.973,         2.48,          2.7,         2.32,         2.12,         5.15,        0.234,        0.0020984,       4.6708e-06,        0.0021031,        0.794,         1.19,        0.499,         1.17,         1.26,         0.96,        0.972,        0.692,         1.63,         1.71,         1.33,         1.34,        0.943,       0.0429
        12, 2017.992,    0.002,        0.0057565,       0.00014412,        0.0059006,         1.27,         1.97,         0.77,         1.86,         2.07,         1.68,          1.6,         1.12,         2.63,          2.9,         2.46,         2.28,         4.84,         0.22,        0.0020615,       5.5932e-06,        0.0020671,        0.793,         1.18,        0.513,         1.17,         1.21,        0.926,        0.955,         0.71,         1.62,         1.64,         1.29,         1.32,         1.08,       0.0492
        13, 2180.636,    0.002,        0.0046673,       0.00013498,        0.0048023,         1.16,         1.77,        0.679,         1.72,         1.93,         1.61,         1.48,        0.952,         2.38,          2.6,         2.33,         2.06,         4.75,        0.216,         0.002346,       3.7326e-05,        0.0023833,        0.827,         1.26,        0.492,         1.23,         1.27,         1.18,         1.04,         0.68,         1.73,         1.71,         1.65,         1.44,         3.33,        0.151
        14, 2356.234,    0.002,        0.0045129,       0.00010668,        0.0046196,         1.11,         1.74,        0.644,         1.63,          1.9,         1.58,         1.44,        0.873,         2.31,         2.62,         2.46,         2.06,         4.34,        0.197,        0.0017746,       3.6627e-06,        0.0017782,        0.712,         1.09,        0.439,         1.06,         1.11,        0.897,        0.876,        0.606,         1.53,          1.5,         1.32,         1.24,        0.778,       0.0354
        15, 2531.184,    0.002,         0.004383,        9.632e-05,        0.0044793,         1.13,         1.72,        0.661,         1.68,          1.9,         1.56,         1.45,        0.912,         2.32,         2.55,         2.21,            2,         4.28,        0.195,        0.0018461,       1.2554e-05,        0.0018587,        0.736,         1.12,        0.454,          1.1,         1.17,        0.899,        0.906,        0.622,         1.55,          1.6,         1.25,         1.26,          1.8,       0.0819
        16, 2710.577,    0.002,        0.0036352,       7.5333e-05,        0.0037105,         1.04,         1.57,        0.614,         1.54,         1.76,          1.4,         1.33,        0.827,         2.12,         2.35,         1.97,         1.82,         3.78,        0.172,        0.0015496,       2.8784e-06,        0.0015525,        0.672,         1.02,         0.42,        0.997,         1.06,        0.827,        0.826,         0.58,          1.4,         1.44,         1.25,         1.17,        0.722,       0.0328
