epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,   42.435,    0.002,           0.4102,         0.053917,          0.46411,         12.8,         18.6,         10.5,         18.5,         14.5,         15.6,         24.5,         20.1,         58.9,         4.21,         0.097581,       9.4713e-05,         0.097676,          6.6,         9.08,         4.79,         11.1,         7.96,         6.01,         14.1,           10,         3.32,        0.237
         2,   53.228,    0.002,         0.069269,          0.00122,         0.070489,         5.64,         7.65,          4.5,         8.48,         6.49,          5.8,           11,         8.39,         12.3,        0.881,         0.050108,       8.2551e-05,         0.050191,         4.84,          6.5,         4.02,         6.88,         5.45,         5.22,         8.94,         7.08,          3.1,        0.222
         3,   64.232,    0.002,         0.039056,       0.00021327,         0.039269,         4.33,         5.74,         3.79,         5.67,         4.73,         4.91,         7.42,         6.17,         4.68,        0.334,         0.032007,       4.7005e-05,         0.032054,         3.86,          5.2,         3.39,         5.05,         4.22,         4.43,         6.74,         5.59,         2.25,        0.161
         4,   75.127,    0.002,         0.028377,       0.00037211,         0.028749,         3.66,         4.89,         3.07,         5.12,          4.1,         3.98,         6.66,         5.32,         6.69,        0.478,         0.024659,       2.4285e-05,         0.024683,         3.36,         4.56,         2.86,         4.61,         3.73,         3.76,         6.12,         4.94,         1.56,        0.112
         5,   86.189,    0.002,         0.022995,       0.00046033,         0.023455,         3.28,         4.41,         2.72,         4.68,          3.7,          3.5,          6.1,          4.8,         7.05,        0.503,         0.019669,        3.254e-05,         0.019701,            3,         4.08,         2.52,          4.2,         3.36,         3.32,         5.54,         4.43,         1.98,        0.142
         6,   97.046,    0.002,         0.017137,       0.00012706,         0.017264,         2.81,          3.8,         2.33,         4.02,         3.18,         3.01,         5.29,         4.15,         3.87,        0.276,         0.015351,       2.0119e-05,         0.015371,         2.65,          3.6,          2.2,         3.76,         2.98,          2.9,         4.93,         3.92,         1.51,        0.108
         7,  107.749,    0.002,         0.012721,        0.0001582,          0.01288,         2.41,         3.28,         1.96,         3.51,         2.74,         2.55,         4.62,         3.58,         3.92,         0.28,         0.011749,       1.0375e-05,          0.01176,          2.3,         3.15,         1.88,         3.36,         2.62,         2.49,         4.39,         3.44,         1.06,       0.0759
         8,  118.453,    0.002,        0.0090581,       0.00016851,        0.0092266,         2.03,         2.77,         1.65,         2.97,         2.31,         2.15,          3.9,         3.02,         4.44,        0.317,        0.0087173,       1.4638e-05,        0.0087319,         1.97,         2.71,         1.59,         2.92,         2.26,         2.12,          3.8,         2.96,         1.25,        0.089
         9,  129.164,    0.002,        0.0072584,       0.00022121,        0.0074796,         1.77,         2.48,         1.35,         2.81,         2.08,         1.79,         3.66,         2.73,         4.91,        0.351,        0.0064354,       9.4298e-06,        0.0064448,         1.68,         2.33,         1.34,         2.54,         1.94,          1.8,         3.31,         2.55,        0.983,       0.0702
        10,  140.038,    0.002,        0.0054711,       7.1499e-05,        0.0055426,         1.53,         2.15,         1.19,         2.38,         1.78,         1.59,         3.14,         2.36,         2.85,        0.204,        0.0048946,       6.5324e-06,        0.0049011,         1.45,         2.03,         1.15,         2.21,         1.68,         1.57,         2.88,         2.23,        0.816,       0.0583
        11,  150.917,    0.002,        0.0040668,       7.4872e-05,        0.0041417,         1.33,         1.85,         1.06,         2.01,         1.54,         1.42,         2.64,         2.03,          2.8,          0.2,         0.003885,        3.122e-06,        0.0038881,         1.29,         1.81,         1.02,         1.95,         1.49,         1.41,         2.56,         1.98,        0.531,       0.0379
        12,  161.792,    0.002,        0.0041525,        0.0001048,        0.0042573,         1.34,         1.87,         1.06,         2.06,         1.56,         1.41,          2.7,         2.06,         3.47,        0.248,        0.0032264,       2.5221e-06,        0.0032289,         1.16,         1.65,        0.927,         1.76,         1.34,         1.28,         2.33,         1.81,        0.476,        0.034
