LAMMPS data file via write_data, version 23 Jun 2022, timestep = 5000000

14 atoms
2 atom types


-20 20 xlo xhi
-20 20 ylo yhi
-20 20 zlo zhi

Atoms # full

    1 1  -2.4914165878784913 0.27612644657598717 2.675252677867173 
    2 2  -3.159280119981218 -0.4321254973345113 2.268935398126148 
    3 2  -3.054807879260839 0.6238626359777181 3.529151955718138 
    4 2  -1.624719825132287 -0.08617148854661924 3.15658283979601 
    5 1  -2.3340762094853744 1.461999146927998 1.706901027472103 
    6 2  -3.2907718789516873 1.9918394405459092 1.6188319091879417 
    7 2  -1.672737658922041 2.1856658001493012 2.206227570970362 
    8 1  -1.6373506643967077 1.2172253561305115 0.33456463295678385 
    9 2  -1.3887595213360973 2.2093864235059897 -0.09593337124552817 
    10 2  -2.2930669661191447 0.6752660187792962 -0.36611950233862267 
    11 1  -0.3889719653220006 0.38642223612730625 0.26810333980709045 
    12 2  0.40551516081473626 0.6357008223282989 -0.5376466088562771 
    13 2  0.14052030469042853 0.43718186667248915 1.2387035019606067 
    14 2  -0.8400198879537901 -0.608821441694247 0.12474294352089206 
